Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,WAF,GtCO2/yr,1.817,1.80357,1.92823,1.59853,1.2363,1.11345,0.983562,0.699223,0.468713,0.384852,0.302347,0.120924,-0.227416,-0.681665,-1.13591,-1.59016,-1.35953,-1.04653,-1.04653,-1.04653,-1.04653,-1.04653,-1.04653,-1.04653,-1.04653,-1.04653,-1.04653
regional_emissions,EAF,GtCO2/yr,0.283526,0.34099,0.411437,0.399746,0.352966,0.315899,0.291611,0.27582,0.268598,0.268482,0.271145,0.266388,0.200237,0.129356,0.0584743,-0.0124071,0.0656131,0.312097,0.312097,0.312097,0.312097,0.312097,0.312097,0.312097,0.312096,0.312096,0.312096
regional_emissions,SAF,GtCO2/yr,0.507151,0.380363,0.253576,0.157609,0.126623,0.101532,0.0756265,0.0460297,0.0139225,-0.0191594,-0.0521003,-0.084643,-0.116977,-0.14953,-0.182563,-0.216334,-0.144178,-0.0703099,-0.0703099,-0.0703099,-0.0703099,-0.0703099,-0.07031,-0.07031,-0.0703101,-0.0703102,-0.0703104
regional_emissions,WEU,GtCO2/yr,3.13174,2.3488,1.56587,0.854502,0.734428,0.64848,0.56845,0.475963,0.363564,0.233357,0.096129,-0.0458214,-0.194395,-0.343745,-0.496998,-0.669789,-0.25353,0.228419,0.228419,0.228419,0.228419,0.228419,0.228419,0.228419,0.228419,0.228419,0.228419
regional_emissions,CEU,GtCO2/yr,0.784933,0.5887,0.392466,0.226236,0.190177,0.154714,0.119995,0.0859323,0.0504511,0.0130417,-0.024123,-0.059201,-0.0911063,-0.118778,-0.14456,-0.173113,-0.0961644,-0.020722,-0.020722,-0.020722,-0.020722,-0.020722,-0.0207221,-0.0207221,-0.0207222,-0.0207222,-0.0207224
regional_emissions,TUR,GtCO2/yr,0.435783,0.326837,0.254069,0.229954,0.20504,0.18521,0.169287,0.15468,0.137716,0.116656,0.0927813,0.0673436,0.0408123,0.0130103,-0.016139,-0.0456662,0.0270973,0.0955344,0.0955344,0.0955343,0.0955343,0.0955343,0.0955343,0.0955342,0.0955342,0.0955341,0.0955339
regional_emissions,UKR,GtCO2/yr,0.403864,0.302898,0.201932,0.186873,0.175241,0.153535,0.13044,0.110873,0.0899832,0.0656415,0.0415072,0.019579,-0.0010244,-0.0210862,-0.0410128,-0.061505,-0.0160414,0.0289704,0.0289704,0.0289704,0.0289704,0.0289703,0.0289703,0.0289703,0.0289702,0.0289701,0.0289699
regional_emissions,STAN,GtCO2/yr,0.485141,0.363856,0.331012,0.306309,0.274678,0.241256,0.218349,0.211281,0.203457,0.184614,0.170276,0.169386,0.165121,0.146899,0.122917,0.0998205,0.158826,0.213287,0.213287,0.213287,0.213287,0.213287,0.213287,0.213287,0.213287,0.213287,0.213287
regional_emissions,RUS,GtCO2/yr,1.8782,1.40865,0.9391,0.807902,0.706314,0.617276,0.539717,0.470924,0.408484,0.348066,0.282543,0.212745,0.147251,0.0875773,0.0285178,-0.0314945,0.141233,0.309807,0.309807,0.309807,0.309807,0.309807,0.309807,0.309807,0.309807,0.309806,0.309806
regional_emissions,ME,GtCO2/yr,2.00627,1.5047,1.09404,1.06026,1.0325,0.990475,0.941794,0.892267,0.831317,0.750929,0.654513,0.547044,0.431855,0.307565,0.168573,0.0132201,0.399645,0.863498,0.863498,0.863498,0.863498,0.863498,0.863498,0.863498,0.863498,0.863498,0.863498
regional_emissions,INDIA,GtCO2/yr,2.77719,2.09588,2.19141,2.18391,2.15431,2.13754,2.08097,1.94446,1.72714,1.4277,1.03888,0.574385,0.0595084,-0.49757,-1.08999,-1.70368,-0.612964,0.338529,0.338529,0.338529,0.338529,0.338529,0.338529,0.338529,0.338529,0.338529,0.338529
regional_emissions,KOR,GtCO2/yr,0.784572,0.588429,0.392286,0.196143,0.13548,0.0921517,0.0540749,0.0203871,-0.00922366,-0.0350378,-0.0573484,-0.0761748,-0.0919645,-0.105829,-0.118914,-0.132339,-0.079335,-0.024809,-0.024809,-0.024809,-0.024809,-0.024809,-0.0248091,-0.0248091,-0.0248092,-0.0248092,-0.0248094
regional_emissions,CHN,GtCO2/yr,11.3913,8.54349,5.69566,2.84783,1.21276,0.383983,-0.332047,-0.925015,-1.40871,-1.80008,-2.09667,-2.29792,-2.43589,-2.55766,-2.6892,-2.84375,-1.98572,-1.02623,-1.02623,-1.02623,-1.02623,-1.02623,-1.02623,-1.02623,-1.02623,-1.02623,-1.02623
regional_emissions,SEAS,GtCO2/yr,1.51417,1.13563,1.04756,0.99375,0.897936,0.786414,0.688315,0.61266,0.531896,0.431068,0.320758,0.202991,0.0700409,-0.0706099,-0.211459,-0.364906,-0.0718746,0.23303,0.23303,0.23303,0.23303,0.23303,0.23303,0.23303,0.23303,0.23303,0.23303
regional_emissions,INDO,GtCO2/yr,1.63506,1.22629,0.857572,0.763864,0.660751,0.541099,0.42897,0.335471,0.247607,0.15587,0.0589473,-0.0392706,-0.135938,-0.234175,-0.335726,-0.439749,-0.243945,-0.0706631,-0.0706631,-0.0706631,-0.0706631,-0.0706631,-0.0706632,-0.0706632,-0.0706633,-0.0706634,-0.0706636
regional_emissions,JAP,GtCO2/yr,1.06462,0.798468,0.532312,0.266156,0.0884668,0.0468199,0.00763781,-0.030794,-0.0686923,-0.104811,-0.137614,-0.166542,-0.193949,-0.223338,-0.254561,-0.285997,-0.197418,-0.108532,-0.108532,-0.108532,-0.108532,-0.108532,-0.108532,-0.108532,-0.108532,-0.108532,-0.108532
regional_emissions,OCE,GtCO2/yr,0.388396,0.291297,0.194198,0.097099,5.79623e-08,-0.0442747,-0.0672328,-0.0827891,-0.0983692,-0.126467,-0.15794,-0.175356,-0.186498,-0.208817,-0.240328,-0.272379,-0.220119,-0.16831,-0.16831,-0.16831,-0.16831,-0.16831,-0.16831,-0.16831,-0.16831,-0.16831,-0.168311
regional_emissions,RSAS,GtCO2/yr,0.417044,0.386498,0.448963,0.499782,0.548135,0.601123,0.659377,0.716838,0.753902,0.756903,0.728932,0.633329,0.529068,0.424808,0.320547,0.216286,0.436517,0.936668,0.936668,0.936668,0.936668,0.936668,0.936668,0.936668,0.936668,0.936668,0.936668
regional_emissions,RSAF,GtCO2/yr,0.786528,0.589896,0.545716,0.743017,0.883343,0.79057,0.602709,0.472351,0.416818,0.415068,0.431578,0.435727,0.408858,0.345478,0.251774,0.128501,0.332737,0.614603,0.614603,0.614603,0.614603,0.614603,0.614603,0.614603,0.614603,0.614603,0.614603
baseline,CAN,GtCO2/yr,0.511577,0.518498,0.536235,0.547984,0.549818,0.524502,0.500764,0.513673,0.546609,0.57387,0.583156,0.569591,0.54417,0.521165,0.512491,0.524535,0.565396,0.600903,0.622454,0.641948,0.659368,0.674227,0.686576,0.696592,0.70441,0.710035,0.713031
baseline,USA,GtCO2/yr,5.39382,5.1559,4.93053,4.77799,4.64003,4.69003,4.73695,4.76285,4.75874,4.72198,4.66657,4.61443,4.60046,4.6461,4.70987,4.74909,4.95318,5.14445,5.22349,5.2907,5.34744,5.39688,5.43899,5.47322,5.50017,5.52027,5.5322
baseline,MEX,GtCO2/yr,0.572878,0.589485,0.617664,0.663281,0.709751,0.730313,0.740738,0.761055,0.792085,0.828384,0.858408,0.873025,0.877519,0.880774,0.892457,0.918546,0.97626,1.02649,1.06319,1.09535,1.12332,1.14736,1.16749,1.18375,1.19639,1.20548,1.21024
baseline,RCAM,GtCO2/yr,0.302334,0.320241,0.338064,0.355905,0.381292,0.424446,0.486116,0.562492,0.641252,0.71064,0.767739,0.812912,0.850609,0.884857,0.914819,0.939444,0.995617,1.04415,1.08051,1.1114,1.13755,1.16017,1.17927,1.19465,1.20656,1.21514,1.21963
baseline,BRA,GtCO2/yr,1.57743,1.61374,1.69502,1.87065,2.02666,2.10797,2.04452,1.83792,1.58542,1.40005,1.35943,1.47741,1.56437,1.46483,1.31736,1.27879,1.33756,1.36619,1.35999,1.35921,1.3625,1.36378,1.36358,1.36367,1.36401,1.36419,1.36419
baseline,RSAM,GtCO2/yr,1.38348,1.54812,1.63265,1.61889,1.65512,1.87747,2.05004,1.98435,1.84456,1.82304,1.89132,1.97312,2.01692,1.99699,1.96026,1.95423,2.03354,2.09072,2.1141,2.13492,2.15351,2.16896,2.18152,2.19166,2.19962,2.20538,2.20844
baseline,NAF,GtCO2/yr,0.583268,0.65804,0.720267,0.762251,0.785518,0.797512,0.82598,0.8933,0.982731,1.07062,1.14238,1.19147,1.23244,1.28045,1.3349,1.39205,1.47612,1.5591,1.62195,1.67582,1.72154,1.76064,1.79308,1.81862,1.83771,1.85059,1.85594
baseline,WAF,GtCO2/yr,1.817,2.75481,3.24559,2.96696,2.54953,2.5955,2.65348,2.25505,1.90533,2.16235,2.82603,3.57324,4.3239,5.07277,5.84125,6.64175,7.54071,8.43486,9.23851,9.93259,10.5287,11.0461,11.4836,11.8377,12.1135,12.313,12.4192
baseline,EAF,GtCO2/yr,0.283526,0.465916,0.59984,0.622967,0.590586,0.572298,0.57881,0.60902,0.67313,0.78478,0.961009,1.21479,1.53877,1.91649,2.29023,2.61203,2.92109,3.24738,3.54432,3.79768,4.01289,4.20015,4.35892,4.48704,4.58644,4.6581,4.69572
baseline,SAF,GtCO2/yr,0.507151,0.553246,0.566395,0.5594,0.569653,0.605513,0.650101,0.68333,0.701641,0.706389,0.702834,0.696451,0.69022,0.685864,0.682877,0.680336,0.706036,0.726133,0.732382,0.737587,0.741938,0.74564,0.748725,0.751205,0.753146,0.754582,0.755403
baseline,WEU,GtCO2/yr,3.13174,2.9746,2.83845,2.72768,2.76138,2.91279,3.13021,3.3485,3.51388,3.59853,3.66285,3.75898,3.82394,3.80279,3.77888,3.83594,4.0542,4.24255,4.34971,4.44611,4.532,4.60565,4.66732,4.71775,4.75761,4.78697,4.80365
baseline,CEU,GtCO2/yr,0.784933,0.760005,0.737461,0.740243,0.767756,0.786744,0.801126,0.817596,0.828688,0.826337,0.81325,0.79311,0.762508,0.720595,0.683872,0.666665,0.676547,0.678192,0.66892,0.661349,0.65531,0.649751,0.644815,0.640848,0.637816,0.635646,0.634513
baseline,TUR,GtCO2/yr,0.435783,0.491718,0.522394,0.53212,0.533311,0.544006,0.567453,0.601176,0.634426,0.657549,0.672248,0.682887,0.693532,0.705664,0.711388,0.704189,0.708342,0.709817,0.705303,0.700446,0.695559,0.691284,0.687635,0.684502,0.681898,0.679867,0.678489
baseline,UKR,GtCO2/yr,0.403864,0.403156,0.409187,0.448484,0.486106,0.493414,0.491857,0.504012,0.514515,0.506245,0.488837,0.475126,0.464988,0.456045,0.450022,0.4485,0.466133,0.47956,0.484212,0.488304,0.491906,0.494957,0.497489,0.499557,0.501202,0.502433,0.503158
baseline,STAN,GtCO2/yr,0.485141,0.524883,0.550017,0.555396,0.539338,0.509726,0.495416,0.515956,0.537205,0.530638,0.538153,0.596393,0.656138,0.668101,0.654509,0.645995,0.660238,0.667726,0.665704,0.664024,0.662712,0.661373,0.66009,0.659029,0.6582,0.657581,0.657197
baseline,RUS,GtCO2/yr,1.8782,1.98631,1.99795,2.00646,1.98526,1.94676,1.90969,1.88973,1.89705,1.92773,1.92771,1.85755,1.77593,1.74231,1.72856,1.69706,1.72103,1.73035,1.71106,1.69239,1.67493,1.65965,1.64672,1.63609,1.62777,1.62186,1.61886
baseline,ME,GtCO2/yr,2.00627,2.11359,2.19152,2.35536,2.53264,2.67704,2.81335,2.96967,3.12275,3.24481,3.33839,3.41712,3.50763,3.62752,3.75005,3.84833,4.05135,4.24561,4.37193,4.47906,4.56927,4.64708,4.71236,4.76433,4.80395,4.83172,4.84506
baseline,INDIA,GtCO2/yr,2.77719,3.43617,4.03836,4.54326,5.08786,5.79357,6.58474,7.36504,8.13196,8.88078,9.51263,9.95062,10.2768,10.5752,10.8011,10.9096,11.2351,11.5112,11.6837,11.8247,11.9398,12.0401,12.1251,12.1926,12.2442,12.2807,12.2984
baseline,KOR,GtCO2/yr,0.784572,0.83297,0.847549,0.814183,0.78543,0.757956,0.730139,0.700135,0.667939,0.633603,0.595684,0.553632,0.511946,0.475685,0.447322,0.427283,0.424642,0.416848,0.401115,0.387483,0.375819,0.365494,0.356604,0.349358,0.343681,0.339519,0.337188
baseline,CHN,GtCO2/yr,11.3913,12.5518,13.0866,12.9814,12.6822,12.3826,11.9594,11.395,10.7192,9.96246,9.13717,8.27153,7.46482,6.81264,6.32864,5.98913,5.87596,5.6987,5.4151,5.16986,4.96035,4.77551,4.6169,4.48797,4.38733,4.31395,4.27354
baseline,SEAS,GtCO2/yr,1.51417,1.81083,2.05464,2.19155,2.2321,2.22237,2.24564,2.36053,2.4991,2.59375,2.68957,2.82523,2.91496,2.89063,2.85739,2.92004,3.108,3.26613,3.36793,3.45834,3.53764,3.60384,3.65723,3.69869,3.72899,3.74821,3.75409
baseline,INDO,GtCO2/yr,1.63506,1.72424,1.76192,1.82675,1.85652,1.81639,1.7715,1.787,1.84117,1.89501,1.92021,1.90355,1.87703,1.8719,1.87861,1.88232,1.9395,1.98384,2.00441,2.02073,2.03349,2.04378,2.05163,2.05691,2.05985,2.06059,2.05861
baseline,JAP,GtCO2/yr,1.06462,1.00843,0.962184,0.924228,0.896725,0.897625,0.905529,0.915142,0.916312,0.900679,0.870447,0.8318,0.796696,0.774486,0.759584,0.744557,0.755665,0.760793,0.752857,0.745614,0.739127,0.733366,0.728391,0.724266,0.720974,0.718517,0.717068
baseline,OCE,GtCO2/yr,0.388396,0.370029,0.365674,0.409903,0.46035,0.487571,0.479965,0.440907,0.417984,0.4473,0.477863,0.460614,0.430974,0.431069,0.447571,0.459321,0.484086,0.507232,0.523405,0.537066,0.548512,0.558499,0.566992,0.573828,0.579126,0.582967,0.585049
baseline,RSAS,GtCO2/yr,0.417044,0.545684,0.68033,0.813786,0.961428,1.14205,1.36857,1.64429,1.94038,2.2304,2.52727,2.8442,3.18302,3.54043,3.92057,4.32657,4.79075,5.27547,5.68189,6.03355,6.33575,6.59766,6.81888,6.99771,7.13678,7.23721,7.29048
baseline,RSAF,GtCO2/yr,0.786528,0.72588,0.7949,1.14473,1.44199,1.37047,1.11779,0.949271,0.922209,1.03062,1.23166,1.47437,1.7119,1.91447,2.10937,2.32575,2.6024,2.87309,3.09684,3.29005,3.45626,3.60015,3.7216,3.81981,3.89621,3.95131,3.98023
relative_abatement,CAN,fraction_of_baseline_emissions,1.91975e-05,0.260012,0.522992,0.766609,0.86279,0.905315,0.944028,0.98064,1.01665,1.05358,1.09154,1.13053,1.17085,1.21271,1.25667,1.30301,1.18351,1.06408,1.06187,1.05999,1.0584,1.05711,1.05609,1.05528,1.05467,1.05423,1.05401
relative_abatement,USA,fraction_of_baseline_emissions,2.00721e-05,0.215391,0.453018,0.717778,0.946558,0.989012,1.02668,1.06106,1.09359,1.12549,1.15712,1.1886,1.22034,1.25275,1.28618,1.3212,1.1902,1.03598,1.03543,1.03498,1.03461,1.0343,1.03403,1.03382,1.03365,1.03353,1.03346
relative_abatement,MEX,fraction_of_baseline_emissions,2.18197e-05,0.271129,0.536255,0.708777,0.768173,0.823687,0.877759,0.93157,0.985303,1.03902,1.09302,1.1477,1.20352,1.26093,1.32021,1.38152,1.26123,1.16452,1.15884,1.15418,1.15034,1.14719,1.14465,1.14266,1.14116,1.14009,1.13954
relative_abatement,RCAM,fraction_of_baseline_emissions,2.02652e-05,0.29194,0.533941,0.600248,0.661425,0.720539,0.77917,0.837813,0.89659,0.955654,1.01529,1.07579,1.13746,1.20057,1.26544,1.33246,1.22791,1.1553,1.15007,1.1459,1.14255,1.13977,1.13751,1.13574,1.1344,1.13345,1.13296
relative_abatement,BRA,fraction_of_baseline_emissions,3.09004e-05,0.266874,0.534688,0.789187,1,1.06622,1.1263,1.18592,1.24582,1.30575,1.36538,1.42408,1.48385,1.54872,1.61799,1.68774,1.5459,1.41983,1.42174,1.42199,1.42097,1.42057,1.42064,1.42061,1.4205,1.42045,1.42045
relative_abatement,RSAM,fraction_of_baseline_emissions,2.92689e-05,0.329758,0.576307,0.786353,0.994306,1.06532,1.13292,1.19948,1.26613,1.33213,1.39728,1.46229,1.52847,1.59725,1.66842,1.74122,1.60247,1.48753,1.48214,1.47744,1.47332,1.46995,1.46724,1.46508,1.4634,1.46219,1.46155
relative_abatement,NAF,fraction_of_baseline_emissions,1.48494e-05,0.308111,0.357435,0.40204,0.442529,0.480636,0.517866,0.555073,0.592493,0.630148,0.667714,0.70501,0.742432,0.780368,0.81902,0.858653,0.775703,0.673423,0.686078,0.696169,0.704237,0.710806,0.716038,0.720025,0.722934,0.724863,0.725656
relative_abatement,WAF,fraction_of_baseline_emissions,2.45146e-05,0.345302,0.40589,0.461223,0.515086,0.571008,0.629331,0.68993,0.753999,0.822021,0.893014,0.966158,1.0526,1.13438,1.19446,1.23942,1.18029,1.12407,1.11328,1.10536,1.0994,1.09474,1.09113,1.08841,1.08639,1.08499,1.08427
relative_abatement,EAF,fraction_of_baseline_emissions,2.15225e-05,0.26813,0.314089,0.358318,0.402347,0.448016,0.496189,0.547108,0.600972,0.657888,0.717854,0.780714,0.869872,0.932504,0.974468,1.00475,0.977538,0.903893,0.911944,0.917819,0.922226,0.925694,0.9284,0.930445,0.931952,0.932999,0.933536
