Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
population,INDO,,0.260812,0.269872,0.27738,0.283254,0.287282,0.289295,0.289422,0.287862,0.284802,0.280445,0.275044,0.268855,0.262098,0.254973,0.247645,0.240228,0.232667
population,JAP,,0.125855,0.123872,0.121416,0.118666,0.115712,0.112629,0.109516,0.106437,0.10327,0.0998998,0.0964176,0.0929349,0.0894307,0.0858793,0.0823682,0.0789679,0.0755669
population,OCE,,0.0341575,0.0363757,0.0384963,0.0405002,0.0424215,0.0442955,0.0461088,0.0478277,0.0493875,0.0507286,0.051843,0.0527344,0.0534001,0.0538232,0.0539367,0.0537147,0.0533452
population,RSAS,,0.494073,0.528905,0.561927,0.592322,0.620116,0.645342,0.667197,0.684907,0.698639,0.70882,0.715986,0.720624,0.722926,0.72299,0.720833,0.716671,0.711615
population,RSAF,,0.17262,0.191656,0.211056,0.230495,0.249617,0.268058,0.285462,0.30155,0.316365,0.32998,0.342272,0.353126,0.362671,0.370973,0.377615,0.382396,0.386448
regional_emissions,CAN,GtCO2/yr,0.511577,0.518402,0.542353,0.573979,0.584769,0.556485,0.529271,0.542615,0.578113,0.606998,0.615198,0.597202,0.565744,0.537036,0.524238,0.534271,0.554035
regional_emissions,USA,GtCO2/yr,5.39382,5.15158,4.94818,4.8923,4.93717,5.00594,5.06493,5.09413,5.08409,5.03268,4.95692,4.88268,4.84999,4.88355,4.93733,4.96376,4.97421
regional_emissions,MEX,GtCO2/yr,0.572878,0.589122,0.621238,0.673885,0.721827,0.742215,0.751446,0.770422,0.800037,0.834601,0.862001,0.872649,0.872112,0.869737,0.875567,0.895748,0.921846
regional_emissions,RCAM,GtCO2/yr,0.302334,0.320236,0.340741,0.358892,0.384359,0.427712,0.489896,0.567246,0.647244,0.717613,0.775051,0.819687,0.856092,0.888545,0.916225,0.938086,0.956959
regional_emissions,BRA,GtCO2/yr,1.57743,1.61232,1.70048,1.90538,2.11995,2.21594,2.14812,1.91975,1.64123,1.43685,1.38803,1.50878,1.5967,1.483,1.31852,1.2702,1.28243
regional_emissions,RSAM,GtCO2/yr,1.38348,1.54777,1.64094,1.64286,1.70865,1.94922,2.13727,2.06384,1.90793,1.87919,1.94664,2.02806,2.06738,2.03645,1.98664,1.9698,1.97
regional_emissions,NAF,GtCO2/yr,0.583268,0.660807,0.723047,0.763303,0.782939,0.789605,0.811065,0.868927,0.945731,1.01763,1.07021,1.09743,1.11344,1.13223,1.15281,1.17138,1.18627
regional_emissions,WAF,GtCO2/yr,1.817,2.77502,3.26887,2.96973,2.52704,2.54583,2.57025,2.1484,1.78165,1.98543,2.54754,3.1575,3.74182,4.28914,4.80259,5.28376,5.72237
regional_emissions,EAF,GtCO2/yr,0.283526,0.465818,0.598127,0.617614,0.58047,0.556374,0.555427,0.575699,0.625644,0.715889,0.858794,1.06154,1.31435,1.59503,1.84891,2.03541,2.18095
regional_emissions,SAF,GtCO2/yr,0.507151,0.554043,0.575918,0.57957,0.59037,0.627811,0.673903,0.706574,0.721732,0.720844,0.70979,0.694692,0.678848,0.664157,0.650197,0.636107,0.621393
regional_emissions,WEU,GtCO2/yr,3.13174,2.97232,2.85078,2.79056,2.83014,2.99213,3.224,3.45736,3.63428,3.7236,3.78976,3.8894,3.95427,3.92428,3.89079,3.94632,4.04601
regional_emissions,CEU,GtCO2/yr,0.784933,0.759443,0.74092,0.756649,0.787054,0.807932,0.823451,0.840779,0.852045,0.848596,0.833251,0.809939,0.775021,0.727725,0.685828,0.664503,0.652597
regional_emissions,TUR,GtCO2/yr,0.435783,0.493307,0.53076,0.541618,0.543129,0.554229,0.578509,0.613564,0.648249,0.672359,0.687594,0.698542,0.70954,0.722232,0.728198,0.720362,0.706202
regional_emissions,UKR,GtCO2/yr,0.403864,0.403445,0.418041,0.462619,0.504927,0.514558,0.514267,0.528908,0.541773,0.533591,0.514941,0.500255,0.489467,0.479974,0.473817,0.472941,0.474437
regional_emissions,STAN,GtCO2/yr,0.485141,0.529815,0.560108,0.566817,0.550498,0.51956,0.504339,0.525389,0.5472,0.539719,0.546924,0.607881,0.671361,0.68399,0.668945,0.659314,0.654537
regional_emissions,RUS,GtCO2/yr,1.8782,1.99504,2.08236,2.11353,2.10048,2.06479,2.02845,2.00991,2.0215,2.05959,2.0623,1.98344,1.89077,1.85316,1.83871,1.80421,1.7574
regional_emissions,ME,GtCO2/yr,2.00627,2.11831,2.23592,2.40963,2.59615,2.74723,2.88928,3.05241,3.21225,3.3392,3.43582,3.5167,3.6107,3.73748,3.86898,3.97628,4.0718
regional_emissions,INDIA,GtCO2/yr,2.77719,3.44721,4.04574,4.53271,5.04274,5.69427,6.40703,7.08164,7.71336,8.29473,8.72856,8.94429,9.02404,9.04846,8.98041,8.78597,8.52927
regional_emissions,KOR,GtCO2/yr,0.784572,0.833549,0.859719,0.852532,0.826771,0.798606,0.769226,0.736707,0.701166,0.662738,0.619888,0.572147,0.524678,0.483148,0.450237,0.426343,0.40606
regional_emissions,CHN,GtCO2/yr,11.3913,12.5616,13.2393,13.4242,13.3101,13.0513,12.6467,12.0768,11.3745,10.5738,9.68958,8.75491,7.88314,7.1823,6.6675,6.31282,6.01999
regional_emissions,SEAS,GtCO2/yr,1.51417,1.81943,2.07626,2.21183,2.24378,2.22024,2.22681,2.3221,2.43646,2.50175,2.56284,2.65705,2.70004,2.62817,2.54482,2.54688,2.58645
regional_emissions,INDO,GtCO2/yr,1.63506,1.72664,1.79009,1.85596,1.88115,1.83029,1.77202,1.77356,1.8121,1.84741,1.85072,1.80927,1.75585,1.72133,1.69604,1.66563,1.63091
regional_emissions,JAP,GtCO2/yr,1.06462,1.0074,0.963787,0.939095,0.930742,0.93375,0.943573,0.954564,0.955665,0.937609,0.902732,0.857917,0.816524,0.788928,0.769067,0.748908,0.727572
regional_emissions,OCE,GtCO2/yr,0.388396,0.369595,0.365962,0.416407,0.482911,0.517615,0.508108,0.462652,0.435012,0.464547,0.495034,0.472381,0.436192,0.431971,0.444992,0.452731,0.456225
regional_emissions,RSAS,GtCO2/yr,0.417044,0.545524,0.678634,0.808379,0.949409,1.11962,1.33057,1.58399,1.85047,2.10357,2.35477,2.61909,2.89183,3.1661,3.44251,3.72035,3.99005
regional_emissions,RSAF,GtCO2/yr,0.786528,0.725326,0.79621,1.14451,1.43503,1.34921,1.08396,0.905348,0.864376,0.948756,1.11252,1.30472,1.48097,1.61475,1.73044,1.852,1.96804
baseline,CAN,GtCO2/yr,0.511577,0.518921,0.542896,0.574553,0.585355,0.557042,0.529801,0.543158,0.578692,0.607606,0.615814,0.597799,0.56631,0.537574,0.524762,0.534805,0.554589
baseline,USA,GtCO2/yr,5.39382,5.15674,4.95313,4.8972,4.94211,5.01095,5.07,5.09923,5.08918,5.03772,4.96189,4.88757,4.85485,4.88844,4.94227,4.96873,4.97919
baseline,MEX,GtCO2/yr,0.572878,0.589712,0.62186,0.67456,0.722549,0.742957,0.752198,0.771193,0.800838,0.835436,0.862864,0.873523,0.872985,0.870608,0.876443,0.896644,0.922768
baseline,RCAM,GtCO2/yr,0.302334,0.320556,0.341082,0.359252,0.384744,0.42814,0.490387,0.567814,0.647892,0.718332,0.775827,0.820507,0.856949,0.889434,0.917142,0.939024,0.957915
baseline,BRA,GtCO2/yr,1.57743,1.61393,1.70218,1.90729,2.12207,2.21816,2.15027,1.92168,1.64288,1.43828,1.38942,1.51029,1.5983,1.48449,1.31984,1.27147,1.28371
baseline,RSAM,GtCO2/yr,1.38348,1.54932,1.64259,1.6445,1.71036,1.95117,2.13941,2.06591,1.90984,1.88107,1.94858,2.03009,2.06945,2.03849,1.98863,1.97177,1.97198
baseline,NAF,GtCO2/yr,0.583268,0.661468,0.723771,0.764067,0.783723,0.790396,0.811877,0.869797,0.946677,1.01865,1.07128,1.09853,1.11455,1.13336,1.15397,1.17255,1.18746
baseline,WAF,GtCO2/yr,1.817,2.7778,3.27215,2.9727,2.52957,2.54838,2.57282,2.15055,1.78343,1.98742,2.55009,3.16066,3.74557,4.29343,4.80739,5.28905,5.7281
baseline,EAF,GtCO2/yr,0.283526,0.466284,0.598726,0.618232,0.581051,0.556931,0.555982,0.576275,0.62627,0.716606,0.859654,1.0626,1.31566,1.59662,1.85076,2.03745,2.18313
baseline,SAF,GtCO2/yr,0.507151,0.554597,0.576495,0.58015,0.590961,0.628439,0.674578,0.707281,0.722455,0.721566,0.710501,0.695387,0.679528,0.664822,0.650848,0.636744,0.622014
baseline,WEU,GtCO2/yr,3.13174,2.97529,2.85363,2.79336,2.83297,2.99512,3.22722,3.46082,3.63792,3.72732,3.79356,3.8933,3.95823,3.9282,3.89469,3.95027,4.05006
baseline,CEU,GtCO2/yr,0.784933,0.760204,0.741662,0.757407,0.787842,0.808741,0.824275,0.84162,0.852898,0.849446,0.834085,0.81075,0.775797,0.728453,0.686514,0.665168,0.653249
baseline,TUR,GtCO2/yr,0.435783,0.493801,0.531292,0.54216,0.543672,0.554783,0.579088,0.614178,0.648898,0.673032,0.688282,0.699241,0.71025,0.722955,0.728927,0.721083,0.706908
baseline,UKR,GtCO2/yr,0.403864,0.403849,0.418459,0.463082,0.505433,0.515073,0.514782,0.529438,0.542315,0.534125,0.515457,0.500756,0.489957,0.480455,0.474292,0.473414,0.474911
baseline,STAN,GtCO2/yr,0.485141,0.530345,0.560669,0.567385,0.551049,0.52008,0.504844,0.525915,0.547748,0.54026,0.547471,0.60849,0.672033,0.684675,0.669615,0.659974,0.655191
baseline,RUS,GtCO2/yr,1.8782,1.99703,2.08444,2.11564,2.10258,2.06686,2.03048,2.01192,2.02353,2.06165,2.06436,1.98542,1.89266,1.85502,1.84056,1.80601,1.75916
baseline,ME,GtCO2/yr,2.00627,2.12043,2.23815,2.41205,2.59875,2.74998,2.89217,3.05546,3.21547,3.34254,3.43926,3.52022,3.61432,3.74123,3.87285,3.98026,4.07587
baseline,INDIA,GtCO2/yr,2.77719,3.45066,4.04979,4.53725,5.04779,5.69997,6.41344,7.08873,7.72109,8.30303,8.7373,8.95325,9.03308,9.05752,8.9894,8.79477,8.5378
baseline,KOR,GtCO2/yr,0.784572,0.834383,0.86058,0.853386,0.827599,0.799406,0.769996,0.737444,0.701868,0.663401,0.620508,0.572719,0.525203,0.483631,0.450688,0.42677,0.406465
baseline,CHN,GtCO2/yr,11.3913,12.5742,13.2525,13.4376,13.3234,13.0644,12.6594,12.0889,11.3859,10.5844,9.69928,8.76368,7.89103,7.18949,6.67417,6.31914,6.02601
baseline,SEAS,GtCO2/yr,1.51417,1.82126,2.07834,2.21404,2.24602,2.22247,2.22904,2.32442,2.4389,2.50426,2.5654,2.65971,2.70274,2.6308,2.54737,2.54943,2.58904
baseline,INDO,GtCO2/yr,1.63506,1.72837,1.79188,1.85781,1.88303,1.83213,1.77379,1.77533,1.81391,1.84926,1.85258,1.81108,1.75761,1.72306,1.69774,1.6673,1.63254
baseline,JAP,GtCO2/yr,1.06462,1.00841,0.964752,0.940035,0.931674,0.934684,0.944518,0.95552,0.956621,0.938547,0.903635,0.858776,0.817341,0.789717,0.769836,0.749657,0.728299
baseline,OCE,GtCO2/yr,0.388396,0.369965,0.366328,0.416824,0.483394,0.518133,0.508617,0.463116,0.435448,0.465012,0.495529,0.472854,0.436629,0.432403,0.445437,0.453183,0.45668
baseline,RSAS,GtCO2/yr,0.417044,0.54607,0.679314,0.809188,0.950359,1.12074,1.3319,1.58558,1.85233,2.10568,2.35713,2.62171,2.89472,3.16926,3.44596,3.72407,3.99404
baseline,RSAF,GtCO2/yr,0.786528,0.726052,0.797007,1.14565,1.43647,1.35056,1.08504,0.906254,0.865241,0.949706,1.11363,1.30602,1.48245,1.61637,1.73218,1.85385,1.97001
relative_abatement,CAN,fraction_of_baseline_emissions,0.000577305,0.000999952,0.000999951,0.000999951,0.000999947,0.000999939,0.000999928,0.000999921,0.000999916,0.000999908,0.000999893,0.000999866,0.000999821,0.000999749,0.000999627,0.000999368,0.000998113
relative_abatement,USA,fraction_of_baseline_emissions,0.000577305,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000999999,0.000999998,0.000999995,0.000999992,0.000999988,0.000999981,0.000999969,0.000999941,0.000999799
relative_abatement,MEX,fraction_of_baseline_emissions,0.000577305,0.000999959,0.000999959,0.00099996,0.000999959,0.000999957,0.000999952,0.000999947,0.000999942,0.000999936,0.000999926,0.000999911,0.000999887,0.000999849,0.000999781,0.000999627,0.000998871
relative_abatement,RCAM,fraction_of_baseline_emissions,0.000577305,0.000999916,0.000999916,0.000999915,0.000999915,0.000999917,0.000999921,0.000999925,0.000999926,0.000999924,0.000999917,0.000999905,0.000999885,0.000999852,0.000999791,0.000999644,0.000998913
relative_abatement,BRA,fraction_of_baseline_emissions,0.000577305,0.000999991,0.000999991,0.000999992,0.000999993,0.000999992,0.00099999,0.000999985,0.000999977,0.000999967,0.000999958,0.000999953,0.000999943,0.000999915,0.000999858,0.00099974,0.000999191
relative_abatement,RSAM,fraction_of_baseline_emissions,0.000577305,0.000999991,0.000999991,0.000999989,0.000999989,0.00099999,0.00099999,0.000999987,0.000999982,0.000999977,0.000999973,0.000999967,0.000999958,0.000999941,0.000999909,0.000999836,0.000999477
relative_abatement,NAF,fraction_of_baseline_emissions,0.000577305,0.000999965,0.000999966,0.000999965,0.000999963,0.00099996,0.000999956,0.000999955,0.000999953,0.000999949,0.000999943,0.000999931,0.000999914,0.000999886,0.000999836,0.000999717,0.000999125
relative_abatement,WAF,fraction_of_baseline_emissions,0.000577305,0.000999999,0.001,0.000999999,0.000999996,0.000999994,0.000999993,0.000999988,0.00099998,0.000999979,0.000999982,0.000999983,0.000999981,0.000999977,0.000999968,0.000999945,0.000999826
relative_abatement,EAF,fraction_of_baseline_emissions,0.000577305,0.000999946,0.000999957,0.000999955,0.000999947,0.000999939,0.000999932,0.000999926,0.000999923,0.000999924,0.000999926,0.000999929,0.000999928,0.000999922,0.000999901,0.000999841,0.000999529
relative_abatement,SAF,fraction_of_baseline_emissions,0.000577305,0.000999956,0.000999955,0.000999951,0.000999948,0.000999947,0.000999945,0.000999942,0.000999935,0.000999924,0.000999908,0.000999886,0.000999852,0.000999799,0.000999701,0.000999471,0.00099832
relative_abatement,WEU,fraction_of_baseline_emissions,0.000577305,0.001,0.000999999,0.000999998,0.000999997,0.000999997,0.000999997,0.000999996,0.000999995,0.000999993,0.000999991,0.000999988,0.000999983,0.000999974,0.000999958,0.000999923,0.00099975
relative_abatement,CEU,fraction_of_baseline_emissions,0.000577305,0.00099997,0.000999967,0.000999965,0.000999964,0.000999961,0.000999957,0.000999953,0.000999946,0.000999937,0.000999923,0.000999903,0.000999872,0.000999817,0.000999717,0.000999494,0.000998401
relative_abatement,TUR,fraction_of_baseline_emissions,0.000577305,0.000999949,0.00099995,0.000999947,0.000999943,0.000999938,0.000999935,0.000999931,0.000999926,0.000999918,0.000999905,0.000999886,0.000999859,0.000999816,0.000999734,0.000999534,0.000998523
relative_abatement,UKR,fraction_of_baseline_emissions,0.000577305,0.000999936,0.000999934,0.000999936,0.000999938,0.000999933,0.000999925,0.000999919,0.00099991,0.000999894,0.00099987,0.000999838,0.000999791,0.000999718,0.000999586,0.000999285,0.00099779
relative_abatement,STAN,fraction_of_baseline_emissions,0.000577305,0.000999953,0.000999953,0.00099995,0.000999944,0.000999934,0.000999924,0.000999918,0.000999911,0.000999895,0.000999878,0.000999868,0.00099985,0.000999805,0.00099971,0.00099949,0.000998406
relative_abatement,RUS,fraction_of_baseline_emissions,0.000577305,0.000999995,0.000999995,0.000999994,0.000999993,0.000999991,0.000999989,0.000999986,0.000999983,0.00099998,0.000999975,0.000999966,0.000999953,0.000999934,0.000999901,0.00099982,0.000999413
relative_abatement,ME,fraction_of_baseline_emissions,0.000577305,0.000999996,0.000999996,0.000999996,0.000999996,0.000999996,0.000999995,0.000999994,0.000999993,0.000999991,0.000999989,0.000999985,0.00099998,0.000999972,0.000999958,0.000999924,0.000999752
relative_abatement,INDIA,fraction_of_baseline_emissions,0.000577305,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000999998,0.000999994,0.000999988,0.000999971,0.000999887
relative_abatement,KOR,fraction_of_baseline_emissions,0.000577305,0.000999974,0.000999973,0.00099997,0.000999966,0.00099996,0.000999953,0.000999945,0.000999933,0.000999917,0.000999894,0.000999859,0.000999806,0.00099972,0.000999564,0.000999205,0.000997405
relative_abatement,CHN,fraction_of_baseline_emissions,0.000577305,0.00100001,0.00100001,0.00100001,0.00100001,0.00100001,0.00100001,0.00100001,0.00100001,0.001,0.001,0.001,0.000999996,0.00099999,0.00099998,0.000999956,0.000999835
relative_abatement,SEAS,fraction_of_baseline_emissions,0.000577305,0.000999993,0.000999995,0.000999995,0.000999994,0.000999992,0.00099999,0.000999989,0.000999988,0.000999985,0.000999982,0.000999978,0.00099997,0.000999957,0.000999931,0.000999875,0.000999604
relative_abatement,INDO,fraction_of_baseline_emissions,0.000577305,0.000999993,0.000999992,0.000999992,0.000999991,0.000999988,0.000999985,0.000999983,0.00099998,0.000999977,0.000999971,0.000999962,0.000999949,0.000999928,0.000999892,0.000999804,0.000999366
relative_abatement,JAP,fraction_of_baseline_emissions,0.000577305,0.00099998,0.000999977,0.000999974,0.000999971,0.000999967,0.000999964,0.00099996,0.000999953,0.000999944,0.00099993,0.000999909,0.000999879,0.000999832,0.000999749,0.000999552,0.000998567
relative_abatement,OCE,fraction_of_baseline_emissions,0.000577305,0.000999929,0.000999923,0.000999928,0.000999934,0.000999933,0.000999924,0.000999906,0.000999886,0.000999877,0.000999864,0.000999827,0.000999764,0.000999685,0.000999559,0.000999252,0.0009977
relative_abatement,RSAS,fraction_of_baseline_emissions,0.000577305,0.000999955,0.000999963,0.000999968,0.000999971,0.000999975,0.000999977,0.00099998,0.000999981,0.000999981,0.000999979,0.000999977,0.000999973,0.000999966,0.000999952,0.000999918,0.000999747
relative_abatement,RSAF,fraction_of_baseline_emissions,0.000577305,0.000999969,0.00099997,0.00099998,0.000999984,0.000999981,0.00099997,0.000999957,0.000999947,0.000999945,0.000999945,0.000999944,0.000999938,0.000999923,0.000999894,0.000999825,0.000999476
regional_emission_reduction,CAN,GtCO2/yr,8.93999e-10,0.000518896,0.000542869,0.000574525,0.000585324,0.000557008,0.000529762,0.000543116,0.000578643,0.00060755,0.000615748,0.000597719,0.000566209,0.000537439,0.000524567,0.000534467,0.000553542
regional_emission_reduction,USA,GtCO2/yr,9.99171e-11,0.00515676,0.00495315,0.00489721,0.00494212,0.00501096,0.00507001,0.00509923,0.00508917,0.0050377,0.00496186,0.00488753,0.00485479,0.00488835,0.00494212,0.00496844,0.00497819
regional_emission_reduction,MEX,GtCO2/yr,6.674e-10,0.000589688,0.000621834,0.000674532,0.00072252,0.000742925,0.000752162,0.000771152,0.000800792,0.000835383,0.0008628,0.000873445,0.000872886,0.000870476,0.000876251,0.00089631,0.000921726
regional_emission_reduction,RCAM,GtCO2/yr,1.00728e-09,0.000320529,0.000341054,0.000359221,0.000384711,0.000428104,0.000490348,0.000567771,0.000647844,0.000718277,0.000775762,0.000820429,0.00085685,0.000889302,0.00091695,0.00093869,0.000956874
regional_emission_reduction,BRA,GtCO2/yr,1.01446e-09,0.00161392,0.00170217,0.00190727,0.00212206,0.00221814,0.00215025,0.00192165,0.00164284,0.00143824,0.00138936,0.00151022,0.00159821,0.00148436,0.00131965,0.00127114,0.00128267
regional_emission_reduction,RSAM,GtCO2/yr,7.33237e-10,0.00154931,0.00164257,0.00164448,0.00171034,0.00195115,0.00213939,0.00206588,0.00190981,0.00188103,0.00194853,0.00203002,0.00206937,0.00203837,0.00198845,0.00197145,0.00197094
regional_emission_reduction,NAF,GtCO2/yr,1.20411e-09,0.000661445,0.000723746,0.000764041,0.000783694,0.000790364,0.000811841,0.000869757,0.000946633,0.0010186,0.00107122,0.00109846,0.00111446,0.00113323,0.00115378,0.00117222,0.00118642
regional_emission_reduction,WAF,GtCO2/yr,4.76967e-09,0.0027778,0.00327215,0.00297269,0.00252956,0.00254836,0.00257281,0.00215052,0.0017834,0.00198738,0.00255004,0.00316061,0.0037455,0.00429333,0.00480724,0.00528876,0.0057271
regional_emission_reduction,EAF,GtCO2/yr,1.80578e-09,0.000466259,0.0005987,0.000618204,0.00058102,0.000556897,0.000555945,0.000576233,0.000626222,0.000716551,0.00085959,0.00106253,0.00131557,0.0015965,0.00185058,0.00203713,0.0021821
regional_emission_reduction,SAF,GtCO2/yr,2.67411e-09,0.000554573,0.000576468,0.000580121,0.00059093,0.000628405,0.000674541,0.00070724,0.000722408,0.000721511,0.000710436,0.000695308,0.000679427,0.000664688,0.000650653,0.000636406,0.000620969
regional_emission_reduction,WEU,GtCO2/yr,7.60629e-11,0.00297529,0.00285363,0.00279335,0.00283296,0.00299511,0.00322721,0.00346081,0.0036379,0.0037273,0.00379352,0.00389325,0.00395816,0.0039281,0.00389453,0.00394997,0.00404905
regional_emission_reduction,CEU,GtCO2/yr,5.89656e-10,0.000760181,0.000741637,0.00075738,0.000787813,0.000808709,0.00082424,0.00084158,0.000852853,0.000849392,0.000834022,0.000810671,0.000775697,0.00072832,0.00068632,0.000664832,0.000652205
regional_emission_reduction,TUR,GtCO2/yr,9.32602e-10,0.000493776,0.000531265,0.000542132,0.000543641,0.000554749,0.00057905,0.000614136,0.000648851,0.000672977,0.000688217,0.000699162,0.00071015,0.000722822,0.000728733,0.000720747,0.000705864
regional_emission_reduction,UKR,GtCO2/yr,2.63915e-09,0.000403823,0.000418432,0.000463053,0.000505401,0.000515039,0.000514743,0.000529395,0.000542267,0.000534069,0.00051539,0.000500674,0.000489855,0.000480319,0.000474095,0.000473075,0.000473861
regional_emission_reduction,STAN,GtCO2/yr,2.86339e-09,0.000530321,0.000560642,0.000567356,0.000551018,0.000520045,0.000504806,0.000525872,0.000547699,0.000540203,0.000547405,0.000608409,0.000671933,0.000684541,0.000669421,0.000659637,0.000654146
regional_emission_reduction,RUS,GtCO2/yr,1.01705e-09,0.00199702,0.00208443,0.00211563,0.00210257,0.00206684,0.00203046,0.0020119,0.00202349,0.00206161,0.00206431,0.00198536,0.00189257,0.00185489,0.00184037,0.00180569,0.00175812
regional_emission_reduction,ME,GtCO2/yr,7.05506e-10,0.00212043,0.00223814,0.00241204,0.00259874,0.00274997,0.00289216,0.00305544,0.00321545,0.00334252,0.00343922,0.00352017,0.00361425,0.00374112,0.00387269,0.00397996,0.00407486
regional_emission_reduction,INDIA,GtCO2/yr,2.92134e-10,0.00345067,0.0040498,0.00453726,0.0050478,0.00569998,0.00641346,0.00708875,0.00772111,0.00830305,0.00873732,0.00895325,0.00903306,0.00905747,0.00898928,0.00879451,0.00853684
regional_emission_reduction,KOR,GtCO2/yr,9.5508e-10,0.000834361,0.000860557,0.00085336,0.00082757,0.000799374,0.00076996,0.000737403,0.000701821,0.000663346,0.000620442,0.000572639,0.000525101,0.000483495,0.000450491,0.000426431,0.00040541
regional_emission_reduction,CHN,GtCO2/yr,9.45427e-11,0.0125743,0.0132526,0.0134377,0.0133235,0.0130645,0.0126594,0.012089,0.011386,0.0105845,0.00969931,0.00876368,0.007891,0.00718942,0.00667404,0.00631886,0.00602502
regional_emission_reduction,SEAS,GtCO2/yr,8.00765e-10,0.00182124,0.00207833,0.00221403,0.00224601,0.00222245,0.00222902,0.0023244,0.00243887,0.00250422,0.00256536,0.00265965,0.00270266,0.00263068,0.00254719,0.00254911,0.00258802
